AppID,Name,Release date,Estimated owners,Required age,Price,Supported languages,Positive,Negative,Achievements,Recommendations,Average playtime forever,Publishers,Categories,Genres
555400,Collision Course,7-Jan-17,20000 - 50000,0,9.99,['English'],190,60,20,234,0,Crynosaurs,"Single-player,Partial Controller Support","Action,Adventure,Indie,Early Access"
1683360,Kayak VR Playtest,8-Jul-21,0 - 0,0,0,[],0,0,2,0,0,,,
985240,Woodfel,30-Apr-21,0 - 20000,0,9.99,['English'],13,3,18,0,0,L3fty Games,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer","Action,Adventure,Indie,Early Access"
1069960,Pythagorean Complex,5-Feb-20,0 - 20000,0,0,['English'],1,1,0,0,0,Interroblank,Single-player,Indie
507490,Ashes of the Singularity: Escalation,10-Nov-16,200000 - 500000,0,29.99,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Portuguese - Brazil']",3183,1004,54,2268,244,Stardock Entertainment,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Includes level editor","Indie,Simulation,Strategy"
877040,Samurai Wish,12-Sep-18,0 - 20000,0,4.99,['English'],11,4,57,0,0,Grégory Joerger,"Single-player,Steam Achievements,Full controller support","Action,Indie"
1583660,Shiba Inu Rescue,21-May-21,0 - 20000,0,4.99,['English'],2,0,0,0,0,Keoasa,Single-player,"Action,Adventure,Casual,Indie"
1841600,Problem Animals,29-Dec-21,0 - 20000,0,4.99,"['English', 'Russian']",4,3,4,0,0,Reforged Group,"Single-player,Steam Achievements",Indie
1697420,Alien Destroyer,30-Jul-21,0 - 20000,0,1.99,['English'],5,3,11,0,0,RandomSpin,"Single-player,Steam Achievements",Action
1152230,The Void of Desires,7-Oct-19,0 - 20000,0,2.99,"['English', 'Russian', 'Dutch']",6,2,30,0,0,Currant Games,"Single-player,Steam Achievements,Steam Cloud",Indie
613200,Dead Days,31-Mar-17,0 - 20000,0,0.74,['English'],12,1,12,0,0,Duskroad Games,"Single-player,Steam Achievements,Steam Trading Cards","Violent,Action,Casual,Indie"
813200,DDS(D.I.Y Drone Simulator) Demo,18-Mar-18,0 - 20000,0,0,"['English', 'Korean']",3,9,0,0,0,Juicy Lab,"Single-player,Partial Controller Support","Racing,Sports"
888990,雨上がりのハナビィ Ameagari no Hanaby,22-Sep-18,0 - 20000,0,13.99,"['Japanese', 'English']",62,2,8,0,0,Enigmatic Network,"Single-player,Steam Achievements,Partial Controller Support","Action,Adventure,Casual,Indie"
1486790,Portal Mortal,1-Apr-22,0 - 20000,0,9.99,"['English', 'German', 'Finnish', 'Russian', 'Portuguese - Brazil', 'Turkish', 'Ukrainian']",9,0,33,0,0,Coil Games,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud,Includes level editor,Remote Play Together","Adventure,Indie"
1721130,Magic defense 2: The Return of the Legend,25-Aug-21,0 - 20000,0,9.99,"['English', 'Russian']",0,4,0,0,0,Phoenixxx Games,Single-player,"Indie,Strategy"
